"dist_bp","r2"
6214,0.463000017915585
50,0.529187462732619
66703,0.00545893442227946
23,0.00827059619249463
237800,0.0320526440961596
17899,0.154861517584109
6813,0.210577511434384
55,0.605066489099447
1364896,0.0200989171536714
14777,0.0910133778908858
10065,0.305251756298753
361847,0.39273260659755
17781,0.00913910209703686
264603,0.00540655833293162
31827,0.0112620722797362
45504,0.059061418047244
37290,0.108029715291085
8,0.143512118839006
799658,0.422926336270717
190491,0.116020153750599
991481,0.0178667834647328
25466,0.0173303108399906
11,0.0315101375006343
5,1
93330,0.188337026304249
192794,0.046174900392534
191014,0.938789189323879
4313,0.949663673040572
24,1
6,1
1281887,0.276147317941833
1,1
53,0.539874176643489
22,0.123587067249776
112181,0.122006807492241
83526,0.119595549292177
520055,0.0572304461133562
65318,0.0870252422596569
134665,0.0359876466959041
182501,0.930834036436135
170,0.874248630951354
328425,0.744558586583773
22,0.0225377175680811
63,0.577322940958053
527729,0.0211285396874481
294478,0.84975741637519
18408,0.0199808068426859
334955,0.0292248217877343
273597,0.0201551954894935
343860,0.717390274868727
1162507,0.00385993698137202
1,1
24,1
537688,6.39568627381708e-05
605484,0.109602906548298
65181,0.00781083660397631
42,1
2,1
440624,0.0096716277827199
191943,0.910807703909107
90701,0.838616988273288
24180,0.075681843994997
460774,0.0911015913681923
147740,0.881393853757618
83797,0.300542829324989
28,0.656362096612938
200846,0.895985412140535
537731,0.475527442627475
839562,0.0908490747182998
397836,0.024169401299534
36,0.129298649706451
15807,0.805374566591518
15367,0.0501437348890287
370,0.241245562285363
855012,0.732793246253212
43366,0.754719546555757
163843,0.413700256317515
134385,0.0550391161210358
